Category,Size,Installs,Minimum Android,Rating Count,Rating
Music & Audio,5.7M,1+,4.4 and up,0,0
Business,37M,10+,4.2 and up,8,5
Finance,9.8M,"1,000+",5.0 and up,37,4
Productivity,5.0M,"1,000,000+",4.0.3 and up,18241,4.4
Books & Reference,11M,"100,000+",4.1 and up,261,4.3
Productivity,1.7M,100+,4.0 and up,74,4.8
Education,26M,100+,4.4 and up,0,0
Books & Reference,27M,"1,000+",2.3 and up,0,0
Music & Audio,7.4M,10+,4.4 and up,0,0
Trivia,21M,10+,5.0 and up,5,5
Sports,36M,50+,5.0 and up,0,0
Lifestyle,1.9M,100+,4.1 and up,6,4.3
Books & Reference,3.2M,100+,4.3 and up,0,0
Arcade,3.5M,"1,000+",4.1 and up,8,1.5
Health & Fitness,67M,10+,5.0 and up,0,0
Travel & Local,Varies with device,"100,000+",4.1 and up,450,4.8
Sports,11M,100+,4.1 and up,0,0
Shopping,3.8M,500+,4.0.3 and up,0,0
Weather,Varies with device,"50,000+",5.0 and up,149,4.2
Business,6.4M,100+,4.4 and up,0,0
Tools,50M,100+,4.4 and up,0,0
Entertainment,8.1M,10+,4.0 and up,0,0
Food & Drink,6.5M,100+,4.1 and up,0,0
Board,16M,"50,000+",4.0 and up,557,3.7
Trivia,4.4M,10+,2.1 and up,0,0
Social,7.6M,50+,4.1 and up,15,4.1
Productivity,10M,"1,000+",4.4 and up,0,0
Health & Fitness,45M,"10,000+",5.1 and up,305,4
Business,8.4M,500+,4.4 and up,6,3.7
Tools,1.4M,10+,5.1 and up,0,0
Books & Reference,16M,50+,4.1 and up,0,0
Puzzle,5.7M,500+,2.3 and up,25,4
Adventure,Varies with device,"1,000+",5.0 and up,24,3.5
Entertainment,5.4M,"5,000+",2.2 and up,36,2.9
Business,2.8M,10+,4.0.3 and up,0,0
Education,28M,100+,2.2 and up,8,4
Medical,8.1M,"100,000+",4.2 and up,4047,4.6
Communication,12M,10+,4.1 and up,0,0
Music & Audio,3.8M,500+,4.1 and up,0,0
Books & Reference,7.2M,"10,000+",4.0 and up,86,4.3
Education,5.1M,100+,4.1 and up,0,0
Tools,24M,"1,000+",4.4 and up,12,4.8
Tools,13M,"1,000+",4.4 and up,0,0
Strategy,3.2M,"1,000+",3.0 and up,42,4.1
Events,10M,100+,4.1 and up,0,0
Productivity,11M,10+,4.1 and up,11,4.9
Books & Reference,12M,"50,000+",4.0.3 and up,1324,4.8
Social,6.9M,500+,4.1 and up,10,5
Education,3.1M,50+,2.1 and up,0,0
Word,36M,"100,000+",4.4 and up,3159,4.9
Tools,10M,500+,5.1 and up,8,4.5
Finance,7.4M,100+,8.0 and up,0,0
Books & Reference,60M,500+,7.0 and up,0,0
